parent_asin,device_type,n_reviews,has_reviews,earliest_review_utc,latest_review_utc
B07D7J7MKX,smart_plug,6,True,2018-06-25T18:09:01.239Z,2021-01-16T22:19:31.687Z
B07G2ZFB4S,smart_plug,65,True,2017-04-08T03:35:03.000Z,2023-01-04T03:55:20.202Z
B07G95FFN3,smart_plug,1042,True,2018-09-25T19:09:17.680Z,2023-08-24T14:52:13.859Z
B07GP4NK4B,smart_plug,1,True,2018-10-11T04:03:35.034Z,2018-10-11T04:03:35.034Z
B07H4GW37H,smart_plug,5,True,2019-03-17T15:45:12.394Z,2019-09-03T18:30:02.494Z
B07H5V6XMX,smart_plug,92,True,2018-12-10T22:31:09.324Z,2022-12-11T22:55:12.424Z
B07JVGJL7P,smart_plug,28,True,2018-12-02T09:17:30.886Z,2020-05-27T16:19:36.053Z
B07JYYJYGS,smart_plug,146,True,2018-12-15T22:31:54.570Z,2022-10-01T19:04:02.308Z
B07KK62GB7,smart_plug,1140,True,2018-12-15T22:51:09.961Z,2023-08-17T21:00:28.756Z
B07KTYJ769,smart_plug,45101,True,2018-10-15T16:16:07.823Z,2023-09-07T00:28:22.966Z
B07L68NDHS,smart_plug,3,True,2019-06-15T19:34:26.240Z,2019-08-14T22:02:20.975Z
B07LB7J786,smart_plug,1,True,2021-01-06T18:35:51.112Z,2021-01-06T18:35:51.112Z
B07MMX1CXD,smart_plug,5,True,2019-03-09T23:50:02.895Z,2019-10-13T15:03:10.502Z
B07P15SJ84,smart_plug,64,True,2019-10-05T21:29:58.072Z,2023-03-28T00:41:33.957Z
B07PWCPG3G,smart_plug,25,True,2019-05-21T20:44:28.497Z,2020-09-25T19:38:38.012Z
B07Q3KQ67Y,smart_plug,1,True,2019-12-16T17:35:20.301Z,2019-12-16T17:35:20.301Z
B07QGTZQR7,smart_plug,29,True,2019-06-23T17:32:38.146Z,2021-01-25T15:18:13.604Z
B07QLR7Y7D,smart_plug,38,True,2019-05-31T00:42:10.085Z,2023-01-06T13:46:10.879Z
B07R8DZKSV,smart_plug,4,True,2019-06-22T19:46:51.717Z,2020-02-10T12:17:10.319Z
B07RL56DPD,smart_plug,155,True,2019-07-10T04:57:53.233Z,2022-02-14T01:38:42.148Z
B07RQNFL7R,smart_plug,59,True,2019-07-20T02:12:23.497Z,2021-06-12T16:34:12.307Z
B07VV2MGMC,smart_plug,464,True,2019-09-07T23:54:25.356Z,2023-05-23T22:11:29.944Z
B07XB5SNC1,smart_plug,3,True,2021-02-01T18:27:16.839Z,2022-02-06T11:40:23.057Z
B082XLQ5LD,smart_plug,3,True,2020-12-19T03:05:59.859Z,2021-09-20T23:43:36.565Z
B083JKSSR5,smart_plug,603,True,2020-02-02T14:58:01.815Z,2023-08-10T21:05:26.082Z
B083NFNN99,smart_plug,13,True,2020-04-15T23:01:02.707Z,2022-04-05T07:20:32.976Z
B083ZKWD1R,smart_plug,3,True,2021-04-18T22:38:43.607Z,2022-06-09T22:32:08.598Z
B086MN9RX5,smart_plug,1,True,2021-12-30T21:29:08.521Z,2021-12-30T21:29:08.521Z
B088WBG3JT,smart_plug,3,True,2020-09-17T12:34:57.826Z,2021-01-30T19:26:19.858Z
B08CXMSZGT,smart_plug,2,True,2020-10-21T14:07:46.892Z,2020-11-21T05:19:14.783Z
B08F8X62QG,smart_plug,14,True,2022-06-29T20:11:24.506Z,2023-07-08T12:41:18.055Z
B08FRDF58C,smart_plug,6,True,2020-10-21T16:49:12.647Z,2020-12-15T15:27:07.597Z
B08J9YDHQT,smart_plug,99,True,2020-10-31T02:33:01.424Z,2022-11-07T20:25:55.786Z
B08KDKN1QV,smart_plug,1,True,2021-03-12T16:50:00.265Z,2021-03-12T16:50:00.265Z
B08KSJ56WR,smart_plug,110,True,2021-04-10T01:09:20.106Z,2023-05-06T23:52:28.540Z
B08P36NQTW,smart_plug,2,True,2021-06-30T12:56:17.372Z,2021-08-18T05:50:04.288Z
B08Q33X824,smart_plug,8,True,2021-05-16T00:41:10.410Z,2021-11-09T17:16:15.125Z
B08QCMCTZ9,smart_plug,11,True,2021-03-23T21:08:15.435Z,2022-01-27T23:12:11.653Z
B08RBVV857,smart_plug,4,True,2021-03-23T04:05:51.982Z,2021-07-19T05:40:18.708Z
B08RML2BW4,smart_plug,1,True,2023-02-07T04:09:50.783Z,2023-02-07T04:09:50.783Z
B08TR1RVQP,smart_plug,18,True,2021-03-22T22:54:33.101Z,2022-12-21T00:56:24.164Z
B091Z5R792,smart_plug,25,True,2021-08-11T01:04:53.326Z,2023-03-30T23:44:50.415Z
B09KKX8MDY,smart_plug,1,True,2021-12-09T04:55:49.375Z,2021-12-09T04:55:49.375Z
B09P58VK93,smart_plug,157,True,2021-12-20T16:10:17.623Z,2023-07-11T00:24:46.211Z
B09PRHQN7M,smart_plug,36,True,2021-12-22T16:49:05.021Z,2023-04-06T12:23:13.412Z
B09QKMWR6K,smart_plug,9,True,2022-02-27T13:20:33.800Z,2022-05-29T15:25:24.894Z
B09QLT48DJ,smart_plug,21,True,2022-03-06T05:42:32.856Z,2023-01-27T03:24:02.135Z
B09TNV7Q69,smart_plug,103,True,2021-10-30T01:52:54.418Z,2023-06-26T18:21:25.754Z
B09Y8V9KQ5,smart_plug,3,True,2022-06-23T02:57:49.319Z,2022-08-31T22:10:13.888Z
B09YC9GTL9,smart_plug,1,True,2023-01-26T01:31:29.040Z,2023-01-26T01:31:29.040Z
B09ZJY5T9V,smart_plug,8,True,2021-11-29T01:04:47.245Z,2022-10-12T03:16:02.862Z
B0BJQ5VZLW,smart_plug,13,True,2020-03-01T23:33:35.672Z,2023-03-26T20:56:32.470Z
B0BM9WGQP2,smart_plug,21,True,2022-03-17T07:03:18.140Z,2023-03-18T04:03:09.296Z
B0BMV8MF5H,smart_plug,190,True,2022-05-03T16:54:21.327Z,2023-06-08T06:52:05.659Z
B0BP127NM4,smart_plug,4,True,2022-03-07T21:28:24.746Z,2023-05-09T19:56:35.045Z
B0BPWCWNTN,smart_plug,6,True,2022-11-08T13:26:54.367Z,2023-04-24T01:39:49.852Z
B0BRKJM5MD,smart_plug,122,True,2018-08-10T19:43:49.305Z,2023-04-24T17:28:57.814Z
B0BTHGCS1D,smart_plug,222,True,2019-12-01T20:23:14.210Z,2023-05-15T11:32:13.326Z
B0C276VVG5,smart_plug,23,True,2021-09-30T01:07:01.899Z,2023-03-23T03:27:32.472Z
B0C2VG36BT,smart_plug,10,True,2020-12-07T04:42:14.533Z,2023-04-07T08:55:55.581Z
B0CCHTF6Y2,smart_plug,2,True,2022-11-12T02:40:23.768Z,2022-11-29T19:57:32.936Z
B07DFNM96Z,smart_switch,11,True,2018-08-16T22:52:14.755Z,2022-11-05T12:32:15.959Z
B07HHR1FZP,smart_switch,1,True,2019-04-02T14:10:24.125Z,2019-04-02T14:10:24.125Z
B08K46NTDD,smart_switch,48,True,2018-12-17T16:27:52.871Z,2023-03-11T19:03:45.533Z
