sample_role,parent_asin,proposed_device_type,source_domains,main_category,title,categories_evidence,limited_metadata_evidence,original_exclusion_reason,exclusion_gate_categories,supporting_metadata_fields,matched_device_terms,matched_smart_terms,proposed_decision,confidence,audit_label,audit_notes,draft_version,sampling_rank
recovery_candidate,B0BNPBB84W,smart_bulb,Electronics,Amazon Devices,Echo Dot (5th Gen) | Glacier White with Amazon Basics Smart Color Bulb,,"features: …ns starter kit for automating your home lighting with fun colors this holiday season – Echo Dot (5th Gen) Charcoal and Amazon Basics Smart Color bulb. SMART UPGRADE: Control your Amazon Basics smart light bulbs by just using your voice ""Alexa, turn on the lights"" or via the Alexa app, no more turning on/off each individual light switch. Create custom routines to schedule your lights automatically at sunset and sunris…",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:echo|smart_bulb:wrong_product:echo dot|smart_switch:approved_identity_phrase_absent|smart_switch:identity_not_in_title_or_categories|smart_switch:required_target_context_absent,approved_identity_phrase_absent|multi-type conflict|wrong_product,title|features,bulb|bulbs|light bulb,alexa|google assistant|homekit|smart_near_bulb|voice control|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,00e18ce56841baa067ded814e380396c8745469b2fa0d6aad336464a1b81fae5
recovery_candidate,B0BNXV1222,smart_bulb,Electronics,Camera & Photo,"CAMWORLD Camera Light B ulbs Outdoor with Alexa, 1080P Lightbulb Camera Outdoor Wireless WiFi with Color Night Vision, Smart Alerts Motion Sensor Video PTZ Camera for Home 2 Set",Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras | features: 【Wifi Camera Light Bulbs for Outdoor 】💡- The wireless Wi-Fi light bulb camera supports 2.4G WiFi (not for 5G WiFi). No need to drill holes in the wall, simply screw lightbulb camera outdoor into the socket and plug it in the power. Then download the APP on your phone and follow the manual settings to connect it. In this way, you can keep track of what's going on at home anytime, anywhere. 【PTZ Rotation & Two-way Talk… | details: Best Sellers Rank Dome Surveillance Cameras 1202 Brand CAMWORLD Date First Available December 3, 2022 Focus Type Manual Focus Item Weight 1.37 pounds Lens Coating ",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras|smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_plug:wrong_product:camera|smart_plug:wrong_product:cameras|smart_plug:wrong_product:motion sensor,approved_identity_phrase_absent|identity_not_in_title_or_categories|multi-type conflict|wrong_product,title|features,bulb|bulbs|light bulb,alexa|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,010d2728e99b3fe55f89343310169f688308768ff282248da42ee0034e5a1be5
recovery_candidate,B07GX5XK54,smart_bulb,Electronics,Camera & Photo,ZEUS CCTV Floodlight Surveillance Camera All-in-One Kit with 4CH NVR System + 4 Twist in Flood Light Cameras Complete Install Kit (Proudly Assembled in The USA),Electronics Security & Surveillance Surveillance Video Equipment Surveillance DVR Kits,categories: Electronics Security & Surveillance Surveillance Video Equipment Surveillance DVR Kits | features: 4CH All-In-One NVR + 4 Camera Complete Install Kit. Install within minutes. As simple as screwing in a light bulb. Replace existing floodlight with our flood light camera and get an ultra bright flood light + a HD WiFi Security Surveillance Camera system for home. 1080P HD Live Stream and Recording Resolution. 100ft IR Camera Night Vision. Color at Night (If Floodlight is turned on) Extremely Clear (See Photos - Real…,smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,features,bulb|light bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,014a40f3267fa28bc02adf434354d52db16089b45e08183fae219958710555bc
recovery_candidate,B0BW5WXWSX,smart_bulb,Electronics,Camera & Photo,"Godox SL60II-Bi SL-60W Upgraded CRI 96+,TLCI 97+ LED Video Light Bi-Colour Daylight Continuous Light 2800-6500K Max.75W Bowens Mount New APP Control with 11-FX Effects + RC-A6 Remote Control",Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting,"categories: Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting | features: … we bring the newly upgraded SL60IID and SL60IIBi with stronger output, empowering your ideas. Controlling gets easier by connecting to the APP via Bluetooth. Changing between shooting spots becomes more convenient with its smaller size. Building a diverse ambiance comes more straightforward thanks to the bi-color version. 🌈【Upgrade function】 - The SL60IID is available with 8 effects and the SL60IIBi comes with 11 ef… | details: Best Sellers Rank Continuous Output Lighting 440 Brand GODOX Connectivity Technology Bluetooth Country of Origin China Date First Available February 18, 2023 Har",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,title|features,bulb,app control|bluetooth,exclude,high,accessory,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,014afc0f9a4b37b8b1b5a30d95eab6025981da92d29c9b3bda256523a8bc0863
recovery_candidate,B0BWQYXSFV,smart_bulb,Electronics,Camera & Photo,"Light Bulb Security Camera, 1080P Wireless 2.4GHz/5GHz WiFi Outdoor Home Security Camera, 360° with Night Vision Light Socket Camera (1 Pack)",Electronics Camera & Photo Video Surveillance Surveillance Cameras Bullet Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Bullet Cameras | features: 【1080P HD & Night Vision】The wireless WiFi camera uses 1080P high-definition resolution. Even in total darkness, you can see clear images. 【SD Card Included】 This wifi camera with 64GB SD card, insert SD, it will save the history video. 【Two-Way Audio Function】 This 360 degree WiFi wireless camera has a built-in microphone and speaker, so you can talk and hear the courier, baby or pet through this porch camera. 【Easy… | description: Package Included: 1 x Light Bulb Security Camera 1 x 64GB SD card. Specifications: Color: white. Connectivity technology: 2.4 GHz and 5 Ghz wireless. Special",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras|smart_bulb:wrong_product:security camera|smart_plug:approved_identity_phrase_absent|smart_plug:wrong_product:camera|smart_plug:wrong_product:cameras|smart_plug:wrong_product:security camera,approved_identity_phrase_absent|multi-type conflict|wrong_product,title|features|description|details,bulb|e27|light bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,01cf709124a822fac5c20d9551a568387eab57a79ab26e2cfdbcbcca22686867
recovery_candidate,B08HHWPCQH,smart_bulb,Electronics,,"Wireless 360 Degree Panoramic IP Camera Bulb 1080p HD Indoor Smart Home Camera, Remote Baby Pet Two-Way Audio Night Vision fisheye Lens and Motion Detection, Works on iOS/Android Phone (S)",Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras | details: Connectivity Protocol Wi-Fi Controller Type Android Date First Available September 7, 2020 Form Factor Dome Manufacturer HIJUNMI Mounting Type Wall Mount Power Source Ac/dc Video Capture Resolution 1080p Viewing Angle 360 Degrees Wireless Communication Technology Wi-Fi",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras,approved_identity_phrase_absent|wrong_product,title|details,bulb,smart home|smart_near_bulb|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,022ae5d38895684af4d61c772c344bf6aca6511b61e1542447e5073910ecc7bf
recovery_candidate,B0BR4NL2QV,smart_bulb,Electronics,Camera & Photo,2K Light Bulb Security Camera 5GHz 2.4GHz Security Cameras Wireless Outdoor 360 Panoramic Surveillance E26/E27 Night Vision Lightbulb Camera Two Way Indoor Outdoor Compatible with WiFi (2 Pieces),Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras | features: 5G Wireless Camera compatible with Wi-Fi: you will receive 2 wireless outdoor light bulb cameras that compatible with 2.4GHz/5GHz Wi-Fi; The light bulb security camera supports cloud storage and storage card (Note: This machine does not include a memory card, if you purchase cloud services, you will be charged ); The surveillance has 3 modes: smart mode, infrared mode, color light mode 360 Panoramic Video Shooting: t… | details: Best Sellers Rank Dome Surveillance Cameras 88 Brand Kingdder Connectivity Technology Wireless Date First Available December 27, 2022 Indoor/Outdoor Usage Indoor I",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras|smart_bulb:wrong_product:security camera,approved_identity_phrase_absent|wrong_product,title|features,bulb|e26|e27|light bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,02a986362c75bc3ba74e3da7c4ca49086af3081456b9c13847c7eb97c3ade3f3
recovery_candidate,B0BKQ51837,smart_bulb,Electronics,All Electronics,"HONPOW Projector, Mini Portable Projector with 100"" Screen, 1080P Supported Outdoor Movie Projector 7500Lux, Home Theater Projector Compatible with HDMI VGA USB TF AV for Home",Electronics Video Projectors,"categories: Electronics Video Projectors | features: … causes eye fatigue by 20%. This mini projector adopt the latest Smart Eco technology to minimize lamp power consumption to extend the useful life of the lamp to a maximum of 60000 hours, long life LED bulb prevents having to purchase super expensive halogen bulbs. 【Excellent Build-in Speakers & 2 Years Warranty】:Our dual built-in speaker enables you to experience the 3D stereo surround sound effects. You can enjoy t… | details: Brand HONPOW Brand Name HONPOW Connectivity Technology USB, HDMI Date First Available November 2, 2022 Display resolution 1920 x 1080 Item Weight 4.13 pounds Package Dimensions 11.73 x 9.17 x 5.71 inches Recommend",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,features,bulb|bulbs|led bulb,,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,02b9a95cc33326d1d095acaf1e870b5b8841f709afa70d4ea2cefe584a4b6439
recovery_candidate,B095Y38N6L,smart_bulb,Electronics,Camera & Photo,"GVM LED Video Light with Softboxes, RGB+Bi-Color Double Sided, Each Side 50W, Video Lighting Kit with Bluetooth Control, Led Panel Lights for YouTube, Webex, Broadcasting, Web Conference, 3 Packs",Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting,"categories: Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting | features: …s and 384 warm lamp beads, which can be satisfied with your different needs 【APP Intelligent Control System & Application Scene Modes】Featuring Mobile Bluetooth APP control function, can be controlled light by smart mobile device. Search the APP “GVM_LED” from major APP stores or the manual. Supports 8 special lighting scenes to enrich your shooting environment, including lighting, cop car, candle, bad bulb, party, d… | details: Best Sellers Rank Continuous Output Lighting 1338 Date First Available May 31, 2021 Item Weight 42.9 pounds Manufacturer GVM Great Video Maker Package Dimensions",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,features,bulb,app control|bluetooth,exclude,low,insufficient_evidence,Bulb identity is not explicit in title/categories.,w3-v1.4.0-draft,02cfaaa7ec631d387af91eb0800fd812cbad1081b14210811182b22d59a65a13
recovery_candidate,B0754JLN51,smart_bulb,Electronics,All Electronics,"Recreation Series System | 15’ Front and Rear Projection Screen with Savi 4000 Lumen 1080p HD Projector, Sound System, Streaming Device w/WiFi (EZ-600)",Electronics Video Projectors,"categories: Electronics Video Projectors | features: … off 4000 lumens. The HD projector clearly displays text, graphics, and videos. It's perfect for presentations, movies and much more. It's high tech LED bulb lasts 20,000+ Hours (10-years at 6-hrs a day). The projector allows for viewing from either the front or back of the projection screen, giving you ideal flexibility for projector positioning. NO BLOWER NEEDED - Don't let a loud blower damage your viewing experie… | details: Batteries 2 AAA batteries required. (included) Best Sellers Rank Video Projectors 5256 Date First Available August 25, 2017 Is Discontinued By Manufacturer No Item Weight 81.2 pounds Item model number EZ-600 Manuf",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,title|features,bulb|led bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0351dcebf27cf4159f97e98c849a217acaf15e3736b8014a24f4469148da97af
recovery_candidate,B001MIYM12,smart_bulb,Electronics,Camera & Photo,Brand New Nikon D3 Body Only Black,Electronics Camera & Photo Digital Cameras DSLR Cameras,"categories: Electronics Camera & Photo Digital Cameras DSLR Cameras | features: …e & White Balance Light Sensitivity ISO auto, ISO 100-6400, ISO 50-100, ISO 6400-25600 Exposure Metering Centre-weighted, spot, 3D colour matrix III Exposure Modes Bulb, automatic, manual, aperture-priority, shutter-priority Special Effects Soft, Black & White, Sepia, Neutral, Vivid, blue, green, red, Cyanotype, fisheye, monochrome, landscape, portrait, miniature, Warm Filter, skylight filter, Colour sketch, Colour o… | description: The Nikon D3 is designed for professionals and experienced photographers. The D3 digital SLR by Nikon boasts a highly sensitive 36.6-megapixel FX-format CMOS sensor to capture even t",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,features|details,bulb,wi fi|wifi,exclude,low,insufficient_evidence,Bulb identity is not explicit in title/categories.,w3-v1.4.0-draft,0357076c8396c06b1ee1aa641514feadf86feb8894a1ffdbec7beebb03c80685
recovery_candidate,B0BBT7FLKD,smart_bulb,Electronics,Camera & Photo,TT&Louis E27 Bulb Camera - 1080p Mobile Phone Wireless WiFi Network Home 360 ° Infrared Night Vision Two-Way Voice Call Smart Cameras Easy to Install for Shops Pets Office Indoor,Electronics Security & Surveillance Home Security Systems,"categories: Electronics Security & Surveillance Home Security Systems | features: 📷【360 ° panoramic view, more Comprehensiv-e care】1080P HD & NIGHT VISION: Our wireless WiFi home security camera features 1080P HD resolution, providing excellent smooth live video during and 360° bird's eye view. You can see clear images even in complete darkness. 📷【Remote two-way voice intercom】Built in high-definition noise reduction pickup and high-volume loudspeaker remote intercom recording and recording throug… | description: Product type: Bulb Camera Material: ABS Product color: Black Product size:17x Φ6.5cm/6.7xΦ2.56in Packing size: 20x10x10cm/7.8x3.9x3.9in Gross weight: 285g/0.63lb Pixel: 2million (DP",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:bulb camera|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras|smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_plug:wrong_product:camera|smart_plug:wrong_product:cameras,approved_identity_phrase_absent|multi-type conflict|wrong_product,title|features|description,bulb|e27,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0361fb035991511ad913ace2a8088bf69db1bcf17c23e1c6b18c5c19d36db909
recovery_candidate,B0823DX2XZ,smart_bulb,Electronics,All Electronics,"Mini Projector WOWOTO 200 ANSI Lumen Android 6.0 Support Full HD 1080P Smart Wi-Fi Projector 4200mAh Battery 150"" Image DLP Video Projector with BT4.0/HDMI/USB/Outdoor Projector for Home Theater",Electronics Video Projectors,"categories: Electronics Video Projectors | features: …projector is lower in noise and more durable than previous models thanks to advanced fan cooling technology. Powerful cooling system cools the heat of lamp efficiently, extending the bulb life to 45,000 hours,if you use it for 3 hours per day, that's 40 years. 【100% Satisfaction】No matter what kind of questions you met while you use the Wowoto projector, always contact us freely, we will give you a satisfied solution… | details: Brand WOWOTO Brand Name WOWOTO Color Name Black Connectivity Technology USB, HDMI Date First Available November 27, 2019 Display Resolution Maximum 1920 x 1080 Display resolution 1920 x 1080 Item Weight 2.68 pound",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,title|features,bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,038feefdd14a62d5df200c6a3096f4d6ff4d0de3fecc5430225dbb9ed792d280
recovery_candidate,B09KFDL9G5,smart_bulb,Electronics,Camera & Photo,"Aputure Amaran P60C RGBWW Video Panel Light,Color Temperature 2500K-7500K,60W,CRI95+/TLCI 96+,5900lux@1m,10 Light Effects,with Softbox,Support App",Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting,"categories: Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting | features: …rd.The lamp bead layout adopts high-density arrangement, with optical lens, the full-color light is evenly mixed, and the output is strong. Support Sidus Link APP control, built-in 10 kinds of light effects, 46 kinds of industry standard color paper modes for calling.10 built-in light effects: lightning / paparazzi / flash / police car / firework / pulse / broken bulb / spark / TV / party light | details: Best Sellers Rank Continuous Output Lighting 1115 Date First Available October 26, 2021 Item Weight 8.71 pounds Manufacturer Aputure Package Dimensions 12.8 x 10.2 x 7.64 inches",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,features,bulb,app control,exclude,low,insufficient_evidence,Bulb identity is not explicit in title/categories.,w3-v1.4.0-draft,03927d71a9b2a1dc38f8ff4339d6d5b8bf76ed4a1171a72e94ae4ee26a8dbdd5
recovery_candidate,B07Z4G2FBV,smart_bulb,Electronics,Amazon Devices,Echo (3rd Gen) Charcoal Bundle with Senged 2-pack smart bulb color starter kit,,"features: This bundle contains the Echo (3rd Gen) Charcoal and Sengled 2-pack smart bulb color starter kit Connect your smart lights to Alexa for easy voice control. Set your lights to gradually brighten ahead of your alarm to mimic the sunrise. Just ask, “Alexa, wake me up at 7am with lights"" Voice control your smart home - Turn on lights, adjust thermostats, lock doors, and more with compatible connected devices. Smart Light…",smart_bulb:wrong_product:bundle with|smart_bulb:wrong_product:echo,wrong_product,title|features,bulb,alexa|google assistant|sengled|smart_near_bulb|voice control|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,039b9d4d79ee97c74e5347067264e8a8b6a5308294f9b717848eb9798c843595
